Main Statistics

T;HLO;F1stLO;F2ndLO;S1stLO;S2ndLO;HSUI;F2ndSUI;F3rdSUI;S2ndSUI;S3rdSUI;SB2ndSUI
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;0.6894548012032717;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;0.8198788788515685;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;0.8823408064879119;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;0.8990130714724243;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;0.8998938680934969;2.0;0.0;0.9999999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;0.896072285924469;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;0.8821150486199592;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;0.8852332671248251;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;0.8943259845068516;2.0;0.0;0.9999999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;0.9007185881734501;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;0.9027275317243613;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;0.8842970209292644;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;0.8926179432284345;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;0.872145910946415;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45;0.8746536681507731;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;0.8771886344628146;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47;0.8733865593191623;2.0;0.0;0.9999999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48;0.8773753530598805;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49;0.8643287311317926;3.0;0.0;0.9999999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;0.8851667718079073;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;0.8958788472546062;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52;0.8921775697924679;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53;0.8861997885895176;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;0.9095474297832239;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55;0.9147420482405507;3.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0
56;0.9261198193622946;3.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0
57;0.9168755545162364;3.0;0.0;1.0000000000000002;0.0;0.9788101522664565;2.0;0.0;1.0;0.0;0.9892903801764635
58;0.9189576545696554;3.0;0.0;1.0;0.0;0.8991914670676137;4.0;0.0;1.0;0.0;0.9474070342881346
59;0.9168216955417273;3.0;0.0;1.0;0.0;0.8264426372907361;6.0;0.0;0.9999999999999999;0.0;0.906413817291609
60;0.9188566685248661;3.0;0.0;1.0;0.0;0.7590374436101552;9.0;0.0;0.9999999999999999;0.0;0.8658425390373613
61;0.9259270185312841;3.0;0.0;1.0;0.0;0.6940725023231351;11.0;0.0;1.0000000000000002;0.0;0.8261373316583245
62;0.9247001995382211;3.0;0.0;1.0;0.0;0.626999871691614;12.0;0.0;1.0;0.0;0.7834253375612324
63;0.9240287047201292;3.0;0.0;0.9999999999999999;0.0;0.5247850454112661;13.0;0.0;1.0;0.0;0.7108968571417965
64;0.9206957513288554;3.0;0.0;1.0;0.0;0.4350981155923344;14.0;0.0;1.0;0.0;0.6371733368412246
65;0.9284220906552583;3.0;1.0;0.9994183848102377;5.816151897624054E-4;0.3928478759197566;14.0;0.0;1.0;0.0;0.6026309160873323
66;0.9222998281862306;3.0;3.0;0.995745036308255;0.004254963691745083;0.31876511595957524;14.0;0.0;1.0;0.0;0.52779804878249
67;0.9208108097258924;3.0;4.0;0.9901873686814086;0.00981263131859155;0.30292251939258336;15.0;0.0;1.0;0.0;0.5157434412847971
68;0.9108794284965835;2.0;4.0;0.9822750423074835;0.017724957692516266;0.2565363595452618;15.0;0.0;0.9999999999999999;0.0;0.46298191156982516
69;0.8945854361679211;2.0;4.0;0.9744691682734502;0.025530831726549852;0.2498784871074485;16.0;0.0;1.0000000000000002;0.0;0.45901393159857795
70;0.871152853351565;2.0;4.0;0.9641062449213481;0.035893755078651786;0.23349464723223906;16.0;0.0;1.0;0.0;0.44061868268408894
71;0.871595261119126;2.0;4.0;0.9609033665814505;0.039096633418549555;0.20932590171167542;16.0;0.0;1.0;0.0;0.404941640306748
72;0.8531757454552341;2.0;4.0;0.9497740409015153;0.05022595909848471;0.1928146613973988;16.0;0.0;0.9999999999999999;0.0;0.38142266343766323
73;0.8417342527416308;2.0;4.0;0.944216923523684;0.055783076476316085;0.19482541462393085;16.0;0.0;1.0;0.0;0.3895921933036244
74;0.8246708874721694;2.0;4.0;0.9357856737967145;0.06421432620328567;0.1718627845334908;16.0;0.0;0.9999999999999996;0.0;0.3474490519336391
75;0.8404756872430934;2.0;4.0;0.9409031679294495;0.059096832070550484;0.17711229132668618;16.0;0.0;1.0;0.0;0.3609977406512279
76;0.8272343988082829;2.0;4.0;0.9357677067336937;0.06423229326630635;0.17131705935774297;16.0;0.0;1.0000000000000002;0.0;0.34771131210386774
77;0.8102564829847164;2.0;4.0;0.9264243258684028;0.07357567413159702;0.17493999498094637;16.0;0.0;0.9999999999999998;0.0;0.3516260668460599
78;0.7937566641748787;2.0;4.0;0.9170974310995231;0.08290256890047681;0.1699933944596285;16.0;0.0;1.0;0.0;0.3429211589195775
79;0.7895698342616093;2.0;4.0;0.9145659967635196;0.08543400323648041;0.16298187186321092;16.0;0.0;1.0;0.0;0.33598575059250596
80;0.8057701117319294;2.0;4.0;0.9199028154092999;0.08009718459070012;0.15795782566331726;16.0;0.0;1.0;0.0;0.3245536616057647
81;0.7851111866435995;2.0;4.0;0.911561259052193;0.08843874094780714;0.160356418419634;16.0;0.0;1.0000000000000002;0.0;0.33206329291549797
82;0.7936195622630797;2.0;4.0;0.9134623073421319;0.0865376926578682;0.15661225239872095;16.0;0.0;1.0;0.0;0.3255597576517405
83;0.7950217158541527;2.0;4.0;0.9134931408906922;0.08650685910930783;0.15888669830161173;16.0;0.0;0.9999999999999999;0.0;0.32718597684795026
84;0.7702895637308314;2.0;4.0;0.9039714244710114;0.0960285755289887;0.15412132175268903;16.0;0.0;1.0;0.0;0.3181301067528874
85;0.7683175227464182;2.0;4.0;0.8992372645657416;0.10076273543425843;0.15592608658337404;16.0;0.0;0.9999999999999999;0.0;0.32417639563086625
86;0.7590484298633612;2.0;4.0;0.8979319994752704;0.10206800052472964;0.15596652372834546;16.0;0.0;1.0;0.0;0.32020171026848443
87;0.7739968944565147;2.0;4.0;0.9050949211098388;0.09490507889016117;0.15905040615993604;16.0;0.0;1.0;0.0;0.3236157080008704
88;0.7804767816744569;2.0;4.0;0.9070734331135271;0.09292656688647302;0.15014597594580686;16.0;0.0;0.9999999999999997;0.0;0.30623264814227985
89;0.7780603264536601;2.0;4.0;0.9038239708414381;0.0961760291585618;0.1546549771747402;16.0;0.0;0.9999999999999998;0.0;0.3183082616808885
90;0.7709204983795933;2.0;4.0;0.9009674874174879;0.09903251258251206;0.14924178853647463;16.0;0.0;1.0000000000000002;0.0;0.30313053381693045
91;0.7690920225191233;2.0;4.0;0.8995930753441931;0.10040692465580683;0.1600483625646989;16.0;0.0;1.0;0.0;0.32562312184861925
92;0.7685046530707906;2.0;4.0;0.9014013081066622;0.09859869189333764;0.16431092206176687;16.0;0.0;1.0;0.0;0.32966846762696733
93;0.7876588149615;2.0;4.0;0.9083521471148771;0.09164785288512271;0.15956762367417127;16.0;0.0;0.9999999999999998;0.0;0.31794042469119194
94;0.8258118163924881;2.0;3.0;0.9309153325554016;0.06908466744459836;0.1812496274948497;16.0;0.0;0.9999999999999999;0.0;0.3583484481464643
95;0.8157636737410763;2.0;3.0;0.9267420754906526;0.07325792450934748;0.1970199762014229;12.0;0.0;0.9999999999999999;0.0;0.3707694635187342
96;0.8034266694239203;2.0;3.0;0.9202029989281639;0.079797001071836;0.21078518281333736;12.0;0.0;1.0;0.0;0.39647224470254666
97;0.7899264167991092;2.0;3.0;0.9143764243632247;0.08562357563677525;0.2123059748196085;12.0;0.0;1.0;0.0;0.40007136731091325
98;0.814357697844755;2.0;3.0;0.9235313893489477;0.07646861065105234;0.2093473382345059;12.0;0.0;1.0;0.0;0.38438577053937684
99;0.8000035181312564;2.0;3.0;0.9188520126226305;0.0811479873773696;0.2009521825402628;12.0;0.0;0.9999999999999999;0.0;0.35997445034679393
100;0.8128914375252997;2.0;3.0;0.9238799170674848;0.07612008293251511;0.19380032160843863;12.0;0.0;1.0000000000000002;0.0;0.35355220748834
101;0.8222320500276469;2.0;3.0;0.9296203141814052;0.0703796858185949;0.21294254288132564;12.0;0.0;1.0;0.0;0.3852773542673253
102;0.8055773794174719;2.0;3.0;0.9206852635729188;0.07931473642708133;0.20787913317303133;12.0;0.0;1.0;0.0;0.36811120428119953
103;0.805228428860194;2.0;3.0;0.9199343998562843;0.08006560014371562;0.22063482945930618;12.0;0.0;1.0000000000000002;0.0;0.40061533034233354
104;0.8324761767998936;2.0;3.0;0.9323569478893519;0.067643052110648;0.2228004195704645;11.0;0.0;1.0;0.0;0.3882034349553186
105;0.8117742380541766;2.0;3.0;0.9244836095796178;0.07551639042038223;0.2234472296722694;11.0;0.0;1.0;0.0;0.3929705231908307
106;0.8259986373655356;2.0;3.0;0.9298485716207737;0.0701514283792262;0.2257323463540744;11.0;0.0;1.0000000000000002;0.0;0.38881357452149573
107;0.805854768754492;2.0;3.0;0.9195533011732724;0.08044669882672761;0.24899511324704493;11.0;0.0;0.9999999999999999;0.0;0.43198535657956827
108;0.8028345337631864;2.0;3.0;0.9167610122099565;0.08323898779004348;0.26029725318497565;11.0;0.0;1.0000000000000002;0.0;0.4438369330773276
109;0.7986929794981675;2.0;3.0;0.9176506664673637;0.08234933353263635;0.2503304846467331;11.0;0.0;1.0;0.0;0.4292001520752926
110;0.8186672415513655;2.0;3.0;0.9273210732946626;0.07267892670533732;0.2543890439404067;11.0;0.0;0.9999999999999999;0.0;0.4380804349245735
111;0.8239779702674923;2.0;3.0;0.9278829289008315;0.0721170710991685;0.25760762955166916;11.0;0.0;1.0;0.0;0.43842426162125847
112;0.845862442083427;2.0;3.0;0.9371759879099959;0.06282401209000404;0.25411289798420084;11.0;1.0;0.9691398352029014;0.030860164797098563;0.4341316255592951
113;0.837995706495689;2.0;3.0;0.9347314880903849;0.06526851190961516;0.2300870952447983;11.0;1.0;0.9528285591630253;0.047171440836974735;0.3993696156289942
114;0.8486517662523999;2.0;3.0;0.940876609090466;0.05912339090953408;0.2470109308190326;10.0;1.0;0.943300547039309;0.05669945296069106;0.4294346019307371
115;0.8388803199069278;2.0;3.0;0.9336090856052194;0.0663909143947808;0.24131889228949802;10.0;1.0;0.9322961265880553;0.06770387341194489;0.4226911822317622
116;0.8550987766282512;2.0;3.0;0.9412778916464469;0.058722108353552974;0.24943600280604483;10.0;1.0;0.9234836096078871;0.07651639039211296;0.4345408237884015
117;0.8736898201934685;2.0;3.0;0.9488457004667525;0.051154299533247335;0.2374147690068808;10.0;1.0;0.9147210150038682;0.08527898499613189;0.4070716471118566
