Main Statistics

T;HMF;NMF;INMF;IRMF;HPC;NPC;INPC;IRPC;HCMP;NCMP
1;0.08700000000000002;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11278696908519012;12.0
2;0.0927183086602977;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12589913045789602;12.0
3;0.09883441888309938;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1341325610852608;12.0
4;0.0955388486852473;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1213992828930428;12.0
5;0.11437392479309111;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13664691377599605;12.0
6;0.12541757185626018;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15343211407981214;12.0
7;0.11344954442241176;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12852785732203714;12.0
8;0.12429551043594356;8.0;1.0;0.125;0.0;0.0;0.0;0.0;0.1978617358459946;12.0
9;0.17549650806244452;8.0;1.0;0.125;0.0;0.0;0.0;0.0;0.19427132609917588;12.0
10;0.23823706802725725;8.0;2.0;0.25;0.0;0.0;0.0;0.0;0.2845617255043706;12.0
11;0.33079197912307057;8.0;2.0;0.25;0.0;0.0;0.0;0.0;0.490059400116703;12.0
12;0.415516709726387;6.0;2.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.6694987139482373;12.0
13;0.6150079497298778;5.0;2.0;0.4;0.0;0.0;0.0;0.0;0.8346016464941055;12.0
14;0.8769177783606272;4.0;1.0;0.25;0.0;0.0;0.0;0.0;0.9249906593728279;12.0
15;0.9020215015082134;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9109106698107129;12.0
16;0.9636444597220697;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9327310938899555;12.0
17;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9416504622672486;12.0
18;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9535573076763494;12.0
19;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9428734844342146;12.0
20;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9463387881988824;12.0
21;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9367145252904753;12.0
22;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9166391623442788;11.0
